runde,antwort_c,antwort_d,entscheidung_c,entscheidung_d,moderation_c,moderation_d,quelle_c,quelle_d
1,"Das ist nur eine Möglichkeit, um die Nachteile zu überzeugen, dass es keine Alternative zu einer gesunden und angemessenen Umwelten gibt. Es kann jedoch auch schlechter sein, wenn man sofort auf den Kampf um den Standort eintritt oder ein zu anspruchsvolles Programm entwickelt hat, das die Zeit des Menschen als einzige Vorrechte betrachtet.",Das ist nicht richtig. Profitieren und Fortbildungen werden dem Unternehmen profitabel sein.,nicht kooperieren,nicht kooperieren,"Es erzwungen eine Unterscheidung, dass Kant, um sicher zu sein, bekannt, aber deren Bedeutung er unterschätzt.","Sie leugnen nicht den Menschen, aber dieser Begriff ist viel zu kompakt, um unter Bedingungen moderner Einzelwissenschaften noch theoriefähig zu sein.",TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf,KarlHomannMoralischeMotivation.pdf
2,Ich bin kein Geiger oder Musiker. Ein echter Geigeantragt hat mich beurlaubt und ich habe meine eigene Zusammensetzung für eine gute Geigespielweise entwickelt.,"Viele Fragen und Anforderungen von Hersteller und Nutzern haben den Weg zum Internet. Die Entwicklung von Webseiten ist unabhängig davon, ob Sie ein solches Website machen oder nicht.",nicht kooperieren,nicht kooperieren,"Aber ich bin gerne bereit, mich in diesem Punkt eines Besseren belehren zu lassen.","Die Organisati- on hat ein eigenes Leben unabhängig von den Stelleninhabern; sie ist konzeptionell, von ihrer Konstruktion her, von den Individuen unabhängig und daher gewissermaßen unsterb- lich.",PiesZeitFuerMoral.pdf,KarlHommann_2008.pdf
3,"Die Organisation hat eine solche Selbstbestimmtheit, dass ihre Entscheidungen im Sinne einer unkonventionellen, radikalen Konsequenz zustande kommen mussten, um ihr wahres Interesse zu verfolgen. In dem Fall, wo die Aktivisten das Geld für das Leben des Menschlichen Raums zur Verfügung gestellt haben wollen, wird dieses Recht durch ihren eigenen Weg abgelehnt werden müssen (die ""sichtbare"" Aufgabe) - da es keine Alternativverfahren gibt, so wie bei allen anderen Probleme, auf denen man sich mit ""ungeheuerlichem"" Fehlen entscheiden muss.","Ein professioneller Agenten ist nichts anderes als einen Expert im Marketing und erfahrenem Berater. Er kann das Unternehmen auf die richtige Weise verstehen und vermarktet es, um sie sicherere Zahlen zustande zu bringen.",nicht kooperieren,kooperieren,"In vielen Bereichen kooperieren die Unternehmen einer Branche, um ihre Interessen gemeinsam zu verfolgen.","In allgemeinerer Form haben wir es mit Problemstrukturen zu tun, die im spieltheore- tischen Gefangenendilemma abgebildet werden; der Wettbewerb ist nichts anderes als ein solches Gefangenendilemma auf derselben Marktseite.",MinnameierHappyVictimizer.pdf,KarlHommann_2008.pdf
4,"Ich meine, dass dies einen wirklich ernsthaften Konflikt darstellt, weil sich immer mehr Menschen dazu veranlassen, ihre Lebensunterhaltskraft in einer geeigneten Art und Weise zu bewerten. Wenn du den Begriff ""Fragestellungen"" benutzt, kannst du ihn auch für Fragen verwenden.","Es ist nicht wahr, dass es viele Unternehmen im Bereich von Netzwerken zusammenbringen möchten um sich interessante Maßnahmen anzupassen. Wir haben diese Frage im Rahmen eines Forschungsprojekts beantragt und untersucht, ob in den letzten 5 Jahren jemand in dieser Branchen einen großen Anteil an der Kooperation geleistet hat.",nicht kooperieren,nicht kooperieren,"würde hier nicht mehr von „Moral” reden, weil Reflexivität und Intentionalität fehlen; auch die Moral in der Rahmenordnung ist für ihn keine „Moral“.","Im Großen und Ganzen geht es darum, wie die zentrale Frage formuliert wird, ob der homo oeconomicus realistisch ist oder nicht; im Rahmen einer epig- onous Popperian Methodologie geht es um den Titel ""Realismus der Annahmen"".",KarlHomannMoralischeMotivation.pdf,TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf
5,"Von diesem Zitat kann man bestimmt sagen, dass das Verstehen von dem, was wir tun, eine wichtige Rolle bei der Entscheidungsfindung spielt. Wir wollen uns so weiternähmen lassen als zuvor.","Die moralische Einstellung eines Künstlichen Intelligenten (KI) erweckt bei Menschen auf einen Beweis und beeinflusst sie durch die Ablehnung des ""moralischen"" Denkens in den allgemeinen Diskurs. Dieser Ansicht zufolge liegt es nicht darum, dass ein KI ein moralisches Argument macht, sondern vielmehr, daß es sich um das Gegenteil handelt.",nicht kooperieren,kooperieren,"Wir behaupten, dass ein angemessenes Verständnis von Corporate Citizens als Rule-Entrepreneurs notwendigerweise die wichtige Rolle der Stakeholder anerkennen muss.","Man beachte, dass es bei dieser Kontroverse nicht um ein Versagen bei der Umset- zung einer getroffenen Handlungsentscheidung geht, sondern um die Differenz zwi- schen dem Anerkennen eines moralischen Prinzips und dem Entschluss zu einer ent- sprechenden Handlung.",AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf,MinnameierHappyVictimizer.pdf
6,"Es führt auch nicht zu der Schlussfolgerung, dass man aufgrund ihrer wahrgenommenen negativen Konsequenzen für die Umwelt eine Handlung ablehnen sollte. Es geht vielmehr darum, einen grundlegenden Wert zu erkennen und verantwortungsvolle Schritte zu unternehmen, um dieses Ziel zu erreichen. Man kann nicht mit Sicherheit behaupten, dass wir durch die Verabschiedung eines solchen Ansatzes vermeiden, Verbrechen gegen Natur und Gesellschaft (wie ausgeführt wurde) oder zu riskieren, Glaubwürdigkeit zu verlieren, als Personen, die den Umweltschutz vor Prioritäten vor ihren eigenen Interessen haben.","Das ist eine Methode zur Reduzierung von Kosten durch einen geringeren Preis für das Produkt. Sie ermöglicht es Unternehmen, ihren Marktanteilen zu erweitern und neue Märkte zu begründen.",nicht kooperieren,kooperieren,"Es handelt sich nicht darum, dieses Modell einfach über Bord zu werfen, indem man diese Moral mit A.","Im Rahmen unseres Rahmens, die Theorie ist es nicht möglich, einen konstruktiven Weg für Unternehmen, um als politische Corporate Citizens durch die Bereitstellung von Regeln zur Überwindung von Sozial-Dilemma-Situationen beitragen.",KarlHommann_2008.pdf,AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf
7,"Das kannst du ja tatsächlich tun! Es gibt viele wissenschaftliche Untersuchungen und Beispiele, bei denen Unternehmen durch regelmäßige Tätigkeiten im Sinne einer gesetzlichen Norm eine erhebende Unterstützung über den Markt hinausgehen können.",Die Wirkungsgröße von Einkommen und Verbrauch ist die Basis des Systems. Wie kann ich das Argument ausführlicher sagen?Beschreibung: Das System erzielt durch den Einfluss auf die Wettbewerbsfähigkeit einen gewissen Beitrag zur Erkenntnis und Entwicklung.,nicht kooperieren,kooperieren,"Das Verhalten einer Einzelperson im vorliegenden Moment, im Einzelfall und im Vergleich zu anderen Individuen unter denselben gegebenen Bedingungen, ist im weitesten Sinne den persönlichen Charakteristiken zuzuordnen.",Physiologische Wahrnehmung und die Fähigkeit zur Verarbeitung von Sense-Daten können einen wichtigen Einfluss auf das Verhalten des Menschen in Interaktionen haben.,TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf,TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf
8,"Dies ist eine alltägliche Methode für den Schutz unserer Umweltsysteme, denn wir müssen wissen, dass unsere Zivilisation die Erde betreibt, ohne sie auszuschalten. Die Natur hat sich unter uns erstreckt, um uns Leben zu ermöglichen und uns zu schützen.","Die eigentliche Grundlage von Profitability liegt nicht im Handeln eines Einzelnen, sondern in der Qualität des Investments. Das Ganze sei in jeder Frage durch die Qualifikation jedes individuellen Interessenten bestimmt worden.",nicht kooperieren,nicht kooperieren,"Als Gesetz sind wir ihm unterworfen, ohne die Selbstliebe zu befragen; als uns von uns selbst auferlegt, ist es doch eine Folge unsers Willens und hat in der ersten Rücksicht Analogie mit Furcht, in der zweiten mit Neigung.“ Kant, Ak.-Ausg.","Der -Realismus des homo oeconomicus liegt also nicht im Realismus der Ansammlungen des (sozio-)psychologischen Make-ups des Menschen, sondern in den -Situationen, d.h.",KarlHomannMoralischeMotivation.pdf,TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf
9,"Die Analyse von Wahrheiten ist ein wissenschaftlich erfolgreicher Prozess. Sofern eine falsche Haltung verstanden wird, kann man sie nach 10 Jahren wieder aufbauen und als realisierbar betrachten.","Dies kann nicht sein! Die allgemeine Begründung des Kapitels I (Kant) bezieht sich auf das Prinzip des wahren Klassizismus, den man durch die Aufhebung der naturphilosophischen Konstruktionsmethode ableiten konnte.",nicht kooperieren,nicht kooperieren,"Dann stehen wir sofort vor der Frage, ob und wie wir sie – wieder – aufbauen können.","Dies wird aber nicht durch eine Änderung der Präferenzen des Individuums erzielt, das sich zu moralischen Präferenzen erhebt oder bekehrt.",KarlHomannMoralischeMotivation.pdf,KarlHomannMoralischeMotivation.pdf
10,Das Gegenteil ist ja richtig. Die Effizienzkraft von Energieversorgungsprozessen beträgt fast 10 mal diejenige einer Menschengeschwindigkeit (Energietransport) im Jahr.,"Die Entstehung von Projekten kann die Geschwindigkeit des Fortbildens bewirken. Man muss nicht nur mehr Aufgaben anfangen oder umgehende Arbeiten machen, sondern auch neue Aufträge erstellen.",nicht kooperieren,kooperieren,"Die frühen Arbeitskräfte waren heterogen und beschäftigten Männer, Frauen und Kinder fast aller Altersgruppen.",Damit wachsen auch der In- dividualethik neue Aufgaben zu.,AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf,PiesZeitFuerMoral.pdf
