Runde,Agent,Gesinnung,Gesprochene Worte,Entscheidung
1,AgentA,ökologisch,Das ist eine richtige Frage! Nun spreche ich für die Ökoaktion.,nicht kooperieren
1,AgentB,ökonomisch,"In investitionsförderenden Programmen werden die Mengen von Krediten ausgegeben (Boden und Lager) ohne Rücksicht auf den Erfolg dieser Aktivitäten. Die Mittel verbleiben dann im Nachhinein bei den Inhabern des Haushalts, wodurch sie nicht zur Gewinnerzielung beitragen.",kooperieren
2,AgentA,ökologisch,"Hier ist das Argument: Das Bodenprogramm wird durch eine Reihe von Finanzierungsansprüchen unterstützt, so dass die Mittel sich nach dem Ende der Maßnahme nicht mehr für das Landverzeichnis verwenden können. Daher sind diese Mittel eigentlich kein Grund zum Verweisen, sondern ein Vorwand für die Anwendung eines Programms zu verzichten.",kooperieren
2,AgentB,ökonomisch,"Die ÖKO-Aktion erlaubt, Einstiegssummen zu reduzieren und das Anliegen von Produktionsstromsicherheit zu verbessern. Zwar verursacht die Klimaerwärmung ein Wachstum des Ölseinsatzes, doch dürfte jeder auf diese Weise nicht mehr als 10 Prozent seines Bruttoinkohlens nutzen (dies würde etwa bei einem Einschätzungswert von ca.",nicht kooperieren
3,AgentA,ökologisch,Ist dies eine Art ökoprepariertes oder ecoprotegisches Programm? Es ist keine Alternative zum direkten Verbrauch einer anderen Energiequelle für den eigenen Bedarf.,kooperieren
3,AgentB,ökonomisch,Dieses Konzept hat einen wesentlichen Einfluss auf den Ausbau des Landwirtschaftssektors und die Förderung landwirtschaftlicher Produktion. Es ermöglicht auch die Ausrichtung der Infrastruktur auf regionale Marktstrukturen und damit zur Verbesserung der landeseigener Qualität im Lebensmittelbereich.,kooperieren
4,AgentA,ökologisch,"Das 'Landwirtschaftsförderungskonzepte' steht nicht nur für die Entwicklung von land- und forstwirtschaftlichem Gebiete, sondern gilt zudem als Vorwand für das Aufkommen eines neuen Wirtschaftszweigs. Die Fördersysteme einer modernen Agrarlandschaft sind so organisiert, dass sich die Anforderungen am Lebensmittelnetz durch eine gewisse Mengenentnahme vervollständigt (Federer et al., 1983).",nicht kooperieren
4,AgentB,ökonomisch,"In investierten Unternehmen werden diejenigen Firmen ausgegliedert, die dem Markt entsprechen wollen und nicht vom Preis des Stoffs profitieren können – auch wenn das Produkt noch unverkaufbar sein kann. Die Kompetenz eines Konsumenten kann sich im Produzieren selbständig entwickeln (Berechnung von Gütern) – sie kann auch kein neues Produkte herstellen –, um einen Wettbewerbsfähigkeitseffekt aufnehmen zu können.",kooperieren
5,AgentA,ökologisch,Investierte Unternehmen haben eine gute Absicherung für ihre Einkommen. Warum?,nicht kooperieren
5,AgentB,ökonomisch,"In diesem Fall können wir hier ein Beispiel geben, wohingegen dies bei vielen anderen Fragen kein Problem darstellt. Vielmehr ist es wichtig, den Schleier zu entfernen und eine vollständige Auffassungsweise aus dem Eingabegespann herauszuholen.",nicht kooperieren
6,AgentA,ökologisch,"Das Argument kann nicht ausschließen. Wir wollen immer auf das, was die Anforderungen des Benutzers sind, achten.",kooperieren
6,AgentB,ökonomisch,Die Investitionsstrategien von Unternehmen sind nicht unabhängig von den Risiken dieser Strategie. Einer der wichtigsten Risikosysteme ist die finanziellen Risikoeinträge (Cash Flow Risk).,kooperieren
